Job Title,Job Link,Company,Company Link,Experience Required,Location
DE&A - AIML - Data Science - Data Science (Other) DE&A - AIML,https://www.naukri.com/job-listings-de-a-aiml-data-science-data-science-other-de-a-aiml-zensar-technologies-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-15-to-16-years-060625502336,Zensar,https://www.naukri.com/zensar-jobs-careers-1405,15-16 Yrs ,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru "
Data Science Leader,https://www.naukri.com/job-listings-data-science-leader-concentrix-gurugram-chennai-bengaluru-10-to-15-years-050625016679,Concentrix,https://www.naukri.com/concentrix-jobs-careers-8018,10-15 Yrs ,"Hybrid - Gurugram, Chennai, Bengaluru "
Data Scientist - BLR,https://www.naukri.com/job-listings-data-scientist-blr-photon-infotech-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-6-to-9-years-250325502560,Photon,https://www.naukri.com/photon-jobs-careers-6946,6-9 Yrs ,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru "
GN - SC&O - S&P  Spend Analytics  Data Analyst,https://www.naukri.com/job-listings-gn-sc-o-s-p-spend-analytics-data-analyst-accenture-solutions-pvt-ltd-gurugram-2-to-7-years-120525910747,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,2-7 Yrs ,Gurugram 
Data Science,https://www.naukri.com/job-listings-data-science-programming-com-new-delhi-1-to-4-years-121224501283,Programming.Com,https://www.naukri.com/programming-jobs-careers-124110584,1-4 Yrs ,New Delhi 
Senior Analyst - Data Processing team ( Life Science Consulting),https://www.naukri.com/job-listings-senior-analyst-data-processing-team-life-science-consulting-prescient-gurugram-2-to-6-years-270325502489,Prescient Healthcare Group,https://www.naukri.com/prescient-healthcare-group-jobs-careers-542989,2-6 Yrs ,Gurugram 
Senior Data Scientist,https://www.naukri.com/job-listings-senior-data-scientist-avisoft-chennai-delhi-ncr-bengaluru-8-to-12-years-050625910421,NA,NA,8-12 Yrs ,"Delhi / NCR, Chennai, Bengaluru "
Analyst - Data Analytics,https://www.naukri.com/job-listings-analyst-data-analytics-mastermind-network-delhi-ncr-1-to-3-years-290525017907,NA,NA,1-3 Yrs ,Delhi / NCR 
Data Scientist - Carbon Credits Segment - Sustainability AgriTech,https://www.naukri.com/job-listings-data-scientist-carbon-credits-segment-sustainability-agritech-grok-delhi-ncr-3-to-8-years-270525925221,NA,NA,3-8 Yrs ,Delhi / NCR 
Advanced Data Science Associate,https://www.naukri.com/job-listings-advanced-data-science-associate-zs-associates-noida-gurugram-0-to-3-years-210125504799,ZS,https://www.naukri.com/zs-jobs-careers-68320,0-3 Yrs ,"Noida, Gurugram "
Data & Analytics Analyst,https://www.naukri.com/job-listings-data-analytics-analyst-natwest-group-gurugram-bengaluru-8-to-9-years-060625503878,NatWest Markets,https://www.naukri.com/natwest-markets-jobs-careers-5690928,8-9 Yrs ,"Gurugram, Bengaluru "
Data Analyst,https://www.naukri.com/job-listings-data-analyst-fleetx-io-gurugram-1-to-2-years-240624502785,fleetx.io,https://www.naukri.com/fleetx-jobs-careers-4750230,1-2 Yrs ,Gurugram 
Analyst - Data Analytics,https://www.naukri.com/job-listings-analyst-data-analytics-american-express-india-gurugram-1-to-2-years-300525501677,AMERICAN EXPRESS,https://www.naukri.com/american-express-jobs-careers-2256,1-2 Yrs ,Gurugram 
Associate - Platform Data Science (Data Business CoE),https://www.naukri.com/job-listings-associate-platform-data-science-data-business-coe-bain-company-india-pvt-ltd-new-delhi-3-to-5-years-040625502171,Bain ,https://www.naukri.com/bain-jobs-careers-1886308,3-5 Yrs ,New Delhi 
Senior Data Scientist,https://www.naukri.com/job-listings-senior-data-scientist-decision-point-gurugram-chennai-bengaluru-2-to-5-years-020625003820,Decision Point,https://www.naukri.com/decision-point-jobs-careers-5395270,2-5 Yrs ,"Hybrid - Gurugram, Chennai, Bengaluru "
Data Analyst - YouAppi,https://www.naukri.com/job-listings-data-analyst-youappi-affle-gurugram-bengaluru-2-to-5-years-130525504502,Affle,https://www.naukri.com/affle-jobs-careers-127427,2-5 Yrs ,"Gurugram, Bengaluru "
Sr. Executive | Data Analyst | NSD_Data,https://www.naukri.com/job-listings-sr-executive-data-analyst-nsd-data-indiamart-intermesh-ltd-noida-1-to-3-years-090525914624,IndiaMART,https://www.naukri.com/indiamart-jobs-careers-18735,1-3 Yrs ,Noida 
Senior Data Analyst,https://www.naukri.com/job-listings-senior-data-analyst-avanto-business-india-new-delhi-5-to-7-years-230325002702,Avanto Business India,https://www.naukri.com/avanto-business-india-jobs-careers-6525824,5-7 Yrs ,New Delhi(Prem Nagar +1) 
Lead Data Scientist - Data and Analytics (DNA),https://www.naukri.com/job-listings-lead-data-scientist-data-and-analytics-dna-marsh-mclennan-global-services-india-private-limited-gurugram-2-to-4-years-160525932507,Mercer,https://www.naukri.com/mercer-jobs-careers-1042640,2-4 Yrs ,Gurugram 
Lead Data Scientist,https://www.naukri.com/job-listings-lead-data-scientist-sp-capital-iq-india-pvt-ltd-gurugram-3-to-8-years-040625926140,S&P Global Market Intelligence,https://www.naukri.com/s-p-global-market-intelligence-jobs-careers-1773,3-8 Yrs ,Gurugram 
Data Scientist,https://www.naukri.com/job-listings-data-scientist-lericon-informatics-pvt-ltd-mumbai-delhi-ncr-bengaluru-2-to-6-years-060625918930,NA,NA,2-6 Yrs ,"Delhi / NCR, Mumbai, Bengaluru "
Data Scientist-Credit Risk,https://www.naukri.com/job-listings-data-scientist-credit-risk-zorba-consulting-india-pvt-ltd-mumbai-delhi-ncr-bengaluru-2-to-7-years-070525908962,NA,NA,2-7 Yrs ,"Delhi / NCR, Mumbai, Bengaluru "
Senior Data Scientist,https://www.naukri.com/job-listings-senior-data-scientist-sp-capital-iq-india-pvt-ltd-gurugram-3-to-8-years-040625926054,S&P Global Market Intelligence,https://www.naukri.com/s-p-global-market-intelligence-jobs-careers-1773,3-8 Yrs ,Gurugram 
Principal Data Scientist / Senior Data Scientist/Data Scientist - NLP,https://www.naukri.com/job-listings-principal-data-scientist-senior-data-scientist-data-scientist-nlp-benovymed-healthcare-faridabad-0-to-5-years-270525920661,NA,NA,0-5 Yrs ,Faridabad 
"Senior Data Scientist - AI/ML, Azure, Snowflake, GPT",https://www.naukri.com/job-listings-senior-data-scientist-ai-ml-azure-snowflake-gpt-optum-global-solutions-india-private-limited-noida-5-to-9-years-270525929722,Optum,https://www.naukri.com/optum-jobs-careers-126573,5-9 Yrs ,Noida 
Senior Data Scientist,https://www.naukri.com/job-listings-senior-data-scientist-optum-global-solutions-india-private-limited-noida-4-to-9-years-270525929607,Optum,https://www.naukri.com/optum-jobs-careers-126573,4-9 Yrs ,Noida 
Data Analyst or Lead,https://www.naukri.com/job-listings-data-analyst-or-lead-optum-global-solutions-india-private-limited-noida-4-to-7-years-270525929628,Optum,https://www.naukri.com/optum-jobs-careers-126573,4-7 Yrs ,Noida 
"Data Science || Gurgaon, Bangalore, Mumbai",https://www.naukri.com/job-listings-data-science-gurgaon-bangalore-mumbai-pwc-india-mumbai-gurugram-bengaluru-2-to-7-years-270525036356,PwC India,https://www.naukri.com/pwc-india-jobs-careers-6483,2-7 Yrs ,"Mumbai, Gurugram, Bengaluru "
DE&A - AIML - Data Science - Conventional Natural Language Processing,https://www.naukri.com/job-listings-de-a-aiml-data-science-conventional-natural-language-processing-zensar-technologies-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-280525504998,Zensar,https://www.naukri.com/zensar-jobs-careers-1405,5-8 Yrs ,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru "
Data Analyst,https://www.naukri.com/job-listings-data-analyst-decision-tree-analytics-services-gurugram-0-to-0-years-300525029094,Decision Tree Analytics &  Services,https://www.naukri.com/decision-tree-consultancy-services-jobs-careers-6874781,0 Yrs ,Gurugram 
Analyst - Data Analytics,https://www.naukri.com/job-listings-analyst-data-analytics-kpmg-india-gurugram-1-to-3-years-230525504187,KPMG India,https://www.naukri.com/kpmg-india-jobs-careers-137160,1-3 Yrs ,Gurugram 
Tutor - Data Science,https://www.naukri.com/job-listings-tutor-data-science-coursevita-ghaziabad-hyderabad-0-to-4-years-031224506854,Coursevita,https://www.naukri.com/coursevita-jobs-careers-124473046,0-4 Yrs ,"Ghaziabad, Hyderabad "
Data Scientist,https://www.naukri.com/job-listings-data-scientist-appventure-new-delhi-8-to-13-years-250225500879,NA,NA,8-13 Yrs ,New Delhi 
Manager -Data Analytics,https://www.naukri.com/job-listings-manager-data-analytics-american-express-india-gurugram-5-to-12-years-060625503953,AMERICAN EXPRESS,https://www.naukri.com/american-express-jobs-careers-2256,5-12 Yrs ,Gurugram 
ASSOCIATE DATA SCIENTIST,https://www.naukri.com/job-listings-associate-data-scientist-mccormick-gurugram-3-to-6-years-050625503237,McCormick,https://www.naukri.com/mccormick-jobs-careers-3310792,3-6 Yrs ,Gurugram 
Data Science & Machine Learning,https://www.naukri.com/job-listings-data-science-machine-learning-casemine-noida-0-to-1-years-301024505801,Gauge Data Solutions,https://www.naukri.com/gauge-data-solutions-jobs-careers-1279542,0-1 Yrs ,Noida 
